id,slug,name,kind,country,homepage_url,wikidata_qid,unknowns,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at
29,hankook-ilbo,Hankook Ilbo,newspaper,KR,,,,published,2026-09-22T22:50:42Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:42Z,2026-09-22T22:50:42Z
30,radio-magallanes,Radio Magallanes,broadcaster,CL,,,,published,2026-09-22T22:50:44Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:43Z,2026-09-22T22:50:44Z
31,radio-candelaria,Radio Candelaria,broadcaster,CL,,,,published,2026-09-22T22:50:45Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:44Z,2026-09-22T22:50:45Z
32,sunday-telegraph-sydney,Sunday Telegraph (Sydney),newspaper,AU,,,,published,2026-09-22T22:50:46Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:46Z,2026-09-22T22:50:46Z
33,new-york-times,The New York Times,newspaper,US,https://www.nytimes.com/,,,published,2026-09-22T22:50:48Z,2026-09-22,2026-12-22,2,2026-09-22T22:50:47Z,2026-09-23T01:26:50Z
34,wikileaks,WikiLeaks,other,AU,https://wikileaks.org/,,,published,2026-09-22T22:50:50Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:49Z,2026-09-22T22:50:50Z
35,fox-news,Fox News,broadcaster,US,https://www.foxnews.com/,,,published,2026-09-22T22:50:51Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:50Z,2026-09-22T22:50:51Z
36,al-jazeera-english,Al Jazeera English,broadcaster,QA,https://www.aljazeera.com/,,,published,2026-09-22T22:50:53Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:52Z,2026-09-22T22:50:53Z
37,reuters,Reuters,wire_service,GB,https://www.reuters.com/,,,published,2026-09-22T22:50:54Z,2026-09-22,2026-12-22,4,2026-09-22T22:50:53Z,2026-09-23T01:27:07Z
38,abc-australia,Australian Broadcasting Corporation (ABC),broadcaster,AU,https://www.abc.net.au/,,,published,2026-09-22T22:50:55Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:55Z,2026-09-22T22:50:55Z
39,the-guardian,The Guardian,other,GB,https://www.theguardian.com/,,,published,2026-09-22T22:50:57Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:56Z,2026-09-22T22:50:57Z
40,cambodia-daily,The Cambodia Daily,other,KH,https://www.cambodiadaily.com/,,,published,2026-09-22T22:50:59Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:58Z,2026-09-22T22:50:59Z
41,ntv-russia,NTV,broadcaster,RU,,,,published,2026-09-22T22:51:00Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:59Z,2026-09-22T22:51:00Z
42,novaya-gazeta,Novaya Gazeta,newspaper,RU,https://novayagazeta.ru/,,,published,2026-09-22T22:51:01Z,2026-09-22,2026-12-22,2,2026-09-22T22:51:01Z,2026-09-23T01:26:51Z
